Freq(Hz),SPL(dB),Phase(degrees)
22.449,70.460,6.194
25.198,70.468,6.189
28.284,70.482,6.193
31.748,70.502,6.216
35.636,70.528,6.271
40.000,70.561,6.365
44.898,70.602,6.498
50.397,70.650,6.671
56.569,70.707,6.876
63.496,70.773,7.107
71.272,70.849,7.352
80.000,70.934,7.599
89.797,71.029,7.835
100.794,71.134,8.046
113.137,71.247,8.219
126.992,71.367,8.341
142.544,71.492,8.402
160.000,71.622,8.394
179.594,71.752,8.312
201.587,71.881,8.156
226.274,72.007,7.928
253.984,72.127,7.633
285.088,72.240,7.281
320.000,72.345,6.882
359.188,72.440,6.447
403.175,72.525,5.990
452.548,72.600,5.522
507.968,72.666,5.056
570.175,72.723,4.604
640.000,72.771,4.175
718.376,72.812,3.781
806.349,72.846,3.432
905.097,72.874,3.141
1015.937,72.898,2.922
1140.350,72.918,2.788
1280.000,72.934,2.758
1436.751,72.947,2.851
1612.699,72.958,3.089
1810.193,72.966,3.490
2031.873,72.973,4.071
2280.701,72.978,4.836
2560.000,72.982,5.776
2873.503,72.985,6.856
3225.398,72.987,8.018
3620.387,72.989,9.175
4063.747,72.990,10.222
4561.401,72.991,11.046
5120.000,72.991,11.542
5747.006,72.991,11.623
6450.796,72.991,11.208
7240.773,72.989,10.185
8127.493,72.987,8.359
9122.803,72.984,5.413
10240.000,72.978,0.937
11494.012,72.970,-5.430
12901.592,72.960,-13.764
14481.547,72.947,-23.575
16254.986,72.934,-33.649
18245.605,72.922,-42.163
