Freq(Hz),SPL_L(dB),Phase_L(degrees),SPL_R(dB),Phase_R(degrees)
20.187,70.450,6.020,63.163,4.200
20.524,70.470,6.102,63.183,4.268
20.860,70.478,6.223,63.191,4.373
21.197,70.480,6.353,63.192,4.487
21.533,70.478,6.465,63.189,4.585
21.870,70.470,6.546,63.181,4.651
22.206,70.459,6.593,63.169,4.685
22.543,70.446,6.611,63.155,4.688
22.879,70.431,6.605,63.140,4.666
23.215,70.417,6.578,63.125,4.621
23.552,70.405,6.529,63.113,4.554
23.888,70.397,6.460,63.104,4.467
24.225,70.391,6.375,63.097,4.364
24.561,70.387,6.279,63.092,4.252
24.898,70.386,6.183,63.091,4.140
25.234,70.388,6.092,63.092,4.033
25.571,70.393,6.012,63.096,3.936
25.907,70.400,5.943,63.103,3.850
26.244,70.409,5.886,63.112,3.775
26.580,70.420,5.843,63.122,3.714
26.917,70.430,5.813,63.132,3.666
27.253,70.441,5.800,63.142,3.635
27.589,70.451,5.801,63.152,3.619
27.926,70.461,5.816,63.160,3.617
28.262,70.469,5.842,63.168,3.626
28.599,70.476,5.875,63.174,3.642
28.935,70.481,5.914,63.179,3.663
29.272,70.485,5.954,63.181,3.685
29.608,70.486,5.995,63.182,3.706
29.945,70.487,6.034,63.182,3.726
30.281,70.486,6.068,63.180,3.743
30.618,70.483,6.096,63.177,3.754
30.954,70.481,6.117,63.173,3.758
31.290,70.477,6.129,63.170,3.752
31.627,70.474,6.133,63.166,3.737
31.963,70.471,6.129,63.162,3.712
32.300,70.469,6.117,63.159,3.681
32.636,70.467,6.097,63.156,3.644
32.973,70.466,6.073,63.154,3.604
33.309,70.465,6.046,63.153,3.562
33.646,70.466,6.019,63.154,3.518
33.982,70.467,5.994,63.156,3.475
34.319,70.470,5.972,63.158,3.431
34.655,70.474,5.954,63.162,3.389
34.991,70.479,5.938,63.166,3.352
35.328,70.485,5.928,63.170,3.322
35.664,70.491,5.922,63.175,3.299
36.001,70.497,5.923,63.179,3.283
36.337,70.503,5.931,63.184,3.275
36.674,70.508,5.944,63.189,3.272
37.010,70.514,5.963,63.194,3.274
37.347,70.519,5.984,63.198,3.278
37.683,70.523,6.008,63.202,3.283
38.020,70.527,6.033,63.205,3.289
38.356,70.530,6.059,63.206,3.296
38.692,70.532,6.085,63.207,3.303
39.029,70.533,6.112,63.207,3.311
39.365,70.534,6.136,63.207,3.318
39.702,70.534,6.159,63.207,3.322
40.038,70.534,6.178,63.206,3.322
40.375,70.535,6.194,63.206,3.317
40.711,70.535,6.205,63.205,3.307
41.048,70.535,6.213,63.204,3.292
41.384,70.536,6.218,63.204,3.276
41.721,70.536,6.219,63.203,3.258
42.057,70.538,6.218,63.203,3.240
42.393,70.539,6.215,63.204,3.220
42.730,70.541,6.212,63.205,3.198
43.066,70.543,6.211,63.207,3.175
43.403,70.546,6.211,63.209,3.152
43.739,70.549,6.212,63.211,3.131
44.076,70.553,6.215,63.214,3.114
44.412,70.557,6.220,63.216,3.101
44.749,70.561,6.227,63.219,3.092
45.085,70.565,6.237,63.223,3.085
45.422,70.569,6.250,63.227,3.079
45.758,70.573,6.265,63.230,3.073
46.095,70.577,6.283,63.234,3.068
46.431,70.581,6.303,63.236,3.064
46.767,70.585,6.322,63.239,3.061
47.104,70.589,6.341,63.240,3.061
47.440,70.592,6.360,63.242,3.064
47.777,70.594,6.379,63.243,3.068
48.113,70.596,6.398,63.245,3.072
48.450,70.598,6.418,63.246,3.075
48.786,70.600,6.438,63.248,3.075
49.123,70.602,6.456,63.249,3.071
49.459,70.605,6.472,63.250,3.064
49.796,70.607,6.485,63.250,3.056
50.132,70.608,6.496,63.251,3.048
50.468,70.610,6.506,63.251,3.041
50.805,70.611,6.517,63.251,3.034
51.141,70.613,6.531,63.253,3.027
51.478,70.615,6.544,63.254,3.018
51.814,70.618,6.557,63.256,3.006
52.151,70.622,6.567,63.257,2.994
52.487,70.625,6.575,63.259,2.981
52.824,70.628,6.582,63.260,2.971
53.160,70.631,6.589,63.262,2.962
53.497,70.634,6.597,63.264,2.955
53.833,70.637,6.608,63.266,2.949
54.169,70.641,6.619,63.268,2.942
54.506,70.644,6.632,63.271,2.935
54.842,70.647,6.646,63.273,2.928
55.179,70.650,6.661,63.275,2.923
55.515,70.653,6.678,63.277,2.919
55.852,70.656,6.695,63.279,2.917
56.188,70.660,6.712,63.281,2.914
56.525,70.663,6.726,63.283,2.910
56.861,70.666,6.740,63.285,2.905
57.198,70.669,6.756,63.287,2.900
57.534,70.671,6.774,63.288,2.897
57.870,70.674,6.794,63.289,2.897
58.207,70.678,6.813,63.291,2.901
58.543,70.682,6.828,63.293,2.903
58.880,70.685,6.836,63.296,2.902
59.216,70.688,6.841,63.299,2.894
59.553,70.690,6.846,63.301,2.880
59.889,70.692,6.856,63.303,2.865
60.226,70.693,6.873,63.303,2.852
60.562,70.695,6.895,63.303,2.846
60.899,70.698,6.918,63.304,2.846
61.235,70.702,6.937,63.305,2.848
61.572,70.706,6.950,63.307,2.848
61.908,70.709,6.958,63.310,2.843
62.244,70.712,6.966,63.312,2.834
62.581,70.715,6.977,63.314,2.823
62.917,70.717,6.993,63.315,2.813
63.254,70.720,7.011,63.316,2.805
63.590,70.723,7.030,63.318,2.800
63.927,70.727,7.045,63.319,2.797
64.263,70.731,7.056,63.321,2.793
64.600,70.734,7.066,63.322,2.789
64.936,70.737,7.076,63.324,2.785
65.273,70.740,7.088,63.326,2.779
65.609,70.743,7.104,63.328,2.773
65.945,70.746,7.122,63.330,2.766
66.282,70.749,7.140,63.332,2.759
66.618,70.753,7.156,63.334,2.751
66.955,70.757,7.169,63.335,2.745
67.291,70.761,7.179,63.336,2.743
67.628,70.764,7.189,63.337,2.742
67.964,70.767,7.199,63.339,2.743
68.301,70.769,7.212,63.341,2.743
68.637,70.772,7.227,63.344,2.740
68.974,70.775,7.245,63.346,2.735
69.310,70.778,7.263,63.348,2.728
69.646,70.782,7.279,63.350,2.720
69.983,70.785,7.294,63.352,2.713
70.319,70.789,7.306,63.354,2.707
70.656,70.792,7.317,63.355,2.701
70.992,70.795,7.327,63.357,2.694
71.329,70.798,7.337,63.358,2.687
71.665,70.801,7.350,63.360,2.680
72.002,70.804,7.363,63.361,2.674
72.338,70.806,7.378,63.362,2.669
72.675,70.809,7.392,63.364,2.664
73.011,70.813,7.406,63.365,2.659
73.347,70.816,7.419,63.367,2.654
73.684,70.819,7.430,63.369,2.647
74.020,70.823,7.442,63.371,2.639
74.357,70.826,7.452,63.372,2.632
74.693,70.829,7.463,63.373,2.626
75.030,70.832,7.474,63.375,2.622
75.366,70.835,7.486,63.377,2.619
75.703,70.839,7.498,63.379,2.615
76.039,70.842,7.511,63.381,2.611
76.376,70.845,7.524,63.383,2.605
76.712,70.849,7.537,63.385,2.598
77.048,70.852,7.550,63.387,2.591
77.385,70.856,7.562,63.389,2.584
77.721,70.860,7.573,63.390,2.578
78.058,70.863,7.584,63.392,2.574
78.394,70.866,7.594,63.393,2.570
78.731,70.869,7.605,63.395,2.565
79.067,70.872,7.618,63.397,2.559
79.404,70.875,7.631,63.399,2.553
79.740,70.878,7.645,63.400,2.546
80.077,70.882,7.658,63.402,2.538
80.413,70.885,7.670,63.403,2.530
80.750,70.888,7.682,63.404,2.523
81.086,70.891,7.694,63.405,2.515
81.422,70.894,7.708,63.406,2.509
81.759,70.897,7.722,63.408,2.505
82.095,70.901,7.736,63.409,2.501
82.432,70.905,7.747,63.411,2.498
82.768,70.909,7.756,63.413,2.492
83.105,70.912,7.763,63.415,2.485
83.441,70.915,7.770,63.417,2.475
83.778,70.918,7.779,63.418,2.465
84.114,70.921,7.790,63.420,2.456
84.451,70.924,7.804,63.421,2.448
84.787,70.928,7.817,63.423,2.442
85.123,70.932,7.828,63.425,2.435
85.460,70.936,7.837,63.427,2.428
85.796,70.939,7.844,63.428,2.419
86.133,70.943,7.853,63.430,2.410
86.469,70.946,7.863,63.431,2.404
86.806,70.949,7.875,63.433,2.399
87.142,70.952,7.888,63.434,2.395
87.479,70.956,7.900,63.436,2.391
87.815,70.959,7.911,63.438,2.384
88.152,70.963,7.921,63.440,2.376
88.488,70.966,7.930,63.442,2.366
88.824,70.969,7.939,63.443,2.358
89.161,70.972,7.949,63.444,2.353
89.497,70.975,7.959,63.445,2.350
89.834,70.978,7.970,63.447,2.348
90.170,70.981,7.982,63.449,2.343
90.507,70.985,7.993,63.451,2.336
90.843,70.988,8.005,63.452,2.326
91.180,70.991,8.017,63.454,2.315
91.516,70.995,8.027,63.455,2.306
91.853,70.998,8.036,63.455,2.300
92.189,71.002,8.043,63.456,2.296
92.525,71.005,8.051,63.458,2.293
92.862,71.008,8.058,63.460,2.288
93.198,71.011,8.067,63.462,2.282
93.535,71.014,8.075,63.463,2.273
93.871,71.017,8.084,63.465,2.263
94.208,71.020,8.093,63.466,2.254
94.544,71.024,8.101,63.467,2.247
94.881,71.027,8.111,63.468,2.241
95.217,71.030,8.120,63.470,2.236
95.554,71.034,8.130,63.472,2.231
95.890,71.037,8.139,63.474,2.222
96.227,71.041,8.148,63.476,2.211
96.563,71.044,8.155,63.477,2.199
96.899,71.048,8.163,63.478,2.187
97.236,71.051,8.171,63.479,2.178
97.572,71.055,8.179,63.479,2.172
97.909,71.058,8.187,63.480,2.168
98.245,71.062,8.195,63.482,2.164
98.582,71.065,8.202,63.484,2.159
98.918,71.068,8.208,63.486,2.150
99.255,71.072,8.215,63.487,2.140
99.591,71.074,8.223,63.489,2.130
99.928,71.077,8.234,63.490,2.121
100.264,71.081,8.245,63.491,2.114
100.600,71.084,8.255,63.492,2.108
100.937,71.088,8.265,63.494,2.101
101.273,71.091,8.272,63.495,2.093
101.610,71.095,8.279,63.496,2.084
101.946,71.098,8.286,63.498,2.077
102.283,71.101,8.295,63.499,2.071
102.619,71.104,8.305,63.500,2.065
102.956,71.107,8.316,63.502,2.059
103.292,71.111,8.325,63.504,2.051
103.629,71.115,8.331,63.506,2.040
103.965,71.118,8.336,63.507,2.028
104.301,71.121,8.340,63.508,2.016
104.638,71.124,8.345,63.508,2.007
104.974,71.127,8.353,63.509,2.000
105.311,71.130,8.363,63.510,1.996
105.647,71.134,8.372,63.511,1.993
105.984,71.138,8.379,63.513,1.988
106.320,71.142,8.384,63.515,1.981
106.657,71.145,8.386,63.516,1.972
106.993,71.148,8.389,63.518,1.962
107.330,71.151,8.394,63.519,1.952
107.666,71.154,8.401,63.520,1.943
108.002,71.157,8.410,63.521,1.934
108.339,71.160,8.419,63.523,1.927
108.675,71.163,8.427,63.524,1.919
109.012,71.167,8.434,63.525,1.911
109.348,71.170,8.440,63.526,1.902
109.685,71.174,8.446,63.528,1.894
110.021,71.177,8.453,63.529,1.886
110.358,71.180,8.460,63.530,1.879
110.694,71.184,8.467,63.531,1.872
111.031,71.187,8.472,63.533,1.863
111.367,71.190,8.476,63.534,1.853
111.703,71.193,8.480,63.535,1.841
112.040,71.196,8.485,63.536,1.829
112.376,71.199,8.491,63.537,1.817
112.713,71.202,8.499,63.537,1.808
113.049,71.205,8.506,63.538,1.802
113.386,71.209,8.513,63.539,1.796
113.722,71.212,8.518,63.540,1.789
114.059,71.215,8.522,63.542,1.779
114.395,71.219,8.527,63.543,1.768
114.732,71.222,8.532,63.544,1.757
115.068,71.225,8.538,63.544,1.747
115.405,71.228,8.543,63.545,1.740
115.741,71.232,8.546,63.546,1.735
116.077,71.235,8.549,63.547,1.730
116.414,71.238,8.553,63.549,1.724
116.750,71.241,8.558,63.551,1.714
117.087,71.244,8.565,63.552,1.701
117.423,71.247,8.574,63.553,1.688
117.760,71.251,8.581,63.554,1.676
118.096,71.254,8.586,63.555,1.667
118.433,71.258,8.589,63.555,1.662
118.769,71.261,8.591,63.556,1.658
119.106,71.264,8.593,63.558,1.652
119.442,71.267,8.598,63.560,1.643
119.778,71.270,8.605,63.561,1.631
120.115,71.273,8.613,63.563,1.617
120.451,71.276,8.621,63.563,1.604
120.788,71.280,8.627,63.563,1.595
121.124,71.283,8.630,63.564,1.589
121.461,71.287,8.633,63.564,1.584
121.797,71.290,8.636,63.565,1.580
122.134,71.293,8.640,63.567,1.573
122.470,71.296,8.644,63.568,1.563
122.807,71.299,8.648,63.570,1.551
123.143,71.302,8.651,63.570,1.540
123.479,71.305,8.654,63.571,1.529
123.816,71.308,8.656,63.572,1.521
124.152,71.311,8.659,63.572,1.512
124.489,71.313,8.662,63.573,1.503
124.825,71.316,8.667,63.574,1.493
125.162,71.319,8.672,63.575,1.481
125.498,71.322,8.678,63.576,1.470
125.835,71.325,8.683,63.576,1.462
126.171,71.328,8.689,63.576,1.455
126.508,71.332,8.693,63.577,1.450
