Freq(Hz),SPL(dB),Phase(degrees)
21.189, 63.158, 4.411
22.449, 63.149, 4.358
23.784, 63.140, 4.250
25.198, 63.137, 4.098
26.697, 63.141, 3.938
28.284, 63.149, 3.803
29.966, 63.158, 3.697
31.748, 63.166, 3.606
33.636, 63.173, 3.513
35.636, 63.182, 3.423
37.755, 63.192, 3.341
40.000, 63.203, 3.270
42.379, 63.214, 3.204
44.898, 63.226, 3.141
47.568, 63.239, 3.081
50.397, 63.253, 3.025
53.394, 63.268, 2.970
56.569, 63.284, 2.915
59.932, 63.302, 2.860
63.496, 63.320, 2.802
67.272, 63.339, 2.740
71.272, 63.359, 2.673
75.510, 63.380, 2.599
80.000, 63.402, 2.516
84.757, 63.424, 2.423
89.797, 63.447, 2.319
95.137, 63.469, 2.203
100.794, 63.492, 2.073
106.787, 63.515, 1.929
113.137, 63.536, 1.769
119.865, 63.557, 1.594
126.992, 63.576, 1.403
134.543, 63.593, 1.198
142.544, 63.608, 0.980
151.020, 63.620, 0.748
160.000, 63.629, 0.506
169.514, 63.635, 0.256
179.594, 63.638, 0.001
190.273, 63.637, -0.258
201.587, 63.633, -0.518
213.574, 63.625, -0.774
226.274, 63.613, -1.025
239.729, 63.598, -1.266
253.984, 63.580, -1.496
269.087, 63.559, -1.711
285.088, 63.535, -1.911
302.040, 63.509, -2.092
320.000, 63.481, -2.255
339.028, 63.451, -2.397
359.188, 63.421, -2.520
380.546, 63.390, -2.623
403.175, 63.359, -2.706
427.149, 63.328, -2.770
452.548, 63.297, -2.817
479.458, 63.267, -2.846
507.968, 63.238, -2.860
538.174, 63.210, -2.859
570.175, 63.183, -2.845
604.080, 63.157, -2.819
640.000, 63.133, -2.781
678.056, 63.111, -2.734
718.376, 63.090, -2.678
761.093, 63.070, -2.613
806.349, 63.052, -2.540
854.297, 63.035, -2.459
905.097, 63.020, -2.369
958.917, 63.006, -2.271
1015.937, 62.994, -2.162
1076.347, 62.982, -2.044
1140.350, 62.972, -1.913
1208.159, 62.963, -1.769
1280.000, 62.955, -1.609
1356.113, 62.948, -1.430
1436.751, 62.941, -1.230
1522.185, 62.935, -1.005
1612.699, 62.930, -0.751
1708.595, 62.926, -0.464
1810.193, 62.921, -0.139
1917.833, 62.917, 0.230
2031.873, 62.913, 0.649
2152.695, 62.909, 1.123
2280.701, 62.905, 1.659
2416.318, 62.901, 2.260
2560.000, 62.898, 2.929
2712.226, 62.895, 3.669
2873.503, 62.893, 4.476
3044.370, 62.891, 5.347
3225.398, 62.890, 6.273
3417.190, 62.889, 7.241
3620.387, 62.888, 8.234
3835.666, 62.887, 9.232
4063.747, 62.885, 10.206
4305.390, 62.884, 11.122
4561.401, 62.882, 11.940
4832.637, 62.881, 12.612
5120.000, 62.880, 13.095
5424.451, 62.879, 13.350
5747.006, 62.879, 13.358
6088.740, 62.878, 13.126
6450.796, 62.876, 12.694
6834.380, 62.876, 12.133
7240.773, 62.875, 11.544
7671.332, 62.874, 11.041
8127.493, 62.873, 10.729
8610.779, 62.872, 10.664
9122.803, 62.872, 10.819
9665.273, 62.871, 11.058
10240.000, 62.870, 11.131
10848.902, 62.869, 10.688
11494.012, 62.867, 9.340
12177.480, 62.864, 6.730
12901.592, 62.861, 2.616
13668.760, 62.855, -3.123
14481.547, 62.847, -10.555
15342.664, 62.835, -19.826
16254.986, 62.818, -31.159
17221.559, 62.797, -44.459
18245.605, 62.775, -58.444
19330.547, 62.757, -70.000
