* Freq(Hz), SPL(dB), Phase(degrees)
2.014, -6.355, 7.190
2.380, -6.303, 7.257
2.747, -6.296, 7.160
3.113, -6.329, 7.015
3.479, -6.389, 6.901
3.845, -6.461, 6.839
4.211, -6.532, 6.797
4.578, -6.595, 6.719
4.944, -6.653, 6.564
5.310, -6.708, 6.322
5.676, -6.762, 6.018
6.043, -6.814, 5.686
6.409, -6.861, 5.348
6.775, -6.897, 5.008
7.141, -6.921, 4.659
7.507, -6.935, 4.297
7.874, -6.941, 3.929
8.240, -6.939, 3.573
8.606, -6.932, 3.250
8.972, -6.918, 2.971
9.338, -6.898, 2.737
9.705, -6.873, 2.545
10.071, -6.844, 2.391
10.437, -6.814, 2.278
10.803, -6.784, 2.209
11.170, -6.755, 2.185
11.536, -6.728, 2.205
11.902, -6.703, 2.259
12.268, -6.681, 2.342
12.634, -6.663, 2.445
13.001, -6.649, 2.565
13.367, -6.639, 2.696
13.733, -6.634, 2.834
14.099, -6.633, 2.973
14.465, -6.636, 3.106
14.832, -6.642, 3.230
15.198, -6.651, 3.340
15.564, -6.663, 3.433
15.930, -6.677, 3.506
16.297, -6.692, 3.559
16.663, -6.707, 3.590
17.029, -6.722, 3.601
17.395, -6.736, 3.593
17.761, -6.749, 3.566
18.128, -6.760, 3.524
18.494, -6.769, 3.469
18.860, -6.775, 3.406
19.226, -6.778, 3.338
19.592, -6.779, 3.268
19.959, -6.777, 3.201
20.325, -6.772, 3.140
20.691, -6.765, 3.087
21.057, -6.756, 3.046
21.424, -6.746, 3.017
21.790, -6.734, 3.003
22.156, -6.722, 3.003
22.522, -6.710, 3.019
22.888, -6.697, 3.049
23.255, -6.686, 3.092
23.621, -6.676, 3.148
23.987, -6.667, 3.214
24.353, -6.659, 3.287
24.719, -6.653, 3.366
25.086, -6.649, 3.448
25.452, -6.647, 3.530
25.818, -6.646, 3.611
26.184, -6.647, 3.688
26.551, -6.649, 3.760
26.917, -6.652, 3.826
27.283, -6.657, 3.883
27.649, -6.661, 3.931
28.015, -6.666, 3.970
28.382, -6.671, 3.999
28.748, -6.676, 4.019
29.114, -6.681, 4.032
29.480, -6.684, 4.037
29.847, -6.687, 4.036
30.213, -6.688, 4.031
30.579, -6.688, 4.023
30.945, -6.687, 4.014
31.311, -6.685, 4.006
31.678, -6.682, 3.999
32.044, -6.678, 3.995
32.410, -6.673, 3.996
32.776, -6.667, 4.002
33.142, -6.661, 4.014
33.509, -6.654, 4.032
33.875, -6.647, 4.056
34.241, -6.640, 4.087
34.607, -6.634, 4.123
34.974, -6.628, 4.164
35.340, -6.622, 4.210
35.706, -6.617, 4.259
36.072, -6.613, 4.310
36.438, -6.610, 4.363
36.805, -6.607, 4.416
37.171, -6.605, 4.468
37.537, -6.603, 4.518
37.903, -6.602, 4.567
38.269, -6.602, 4.612
38.636, -6.602, 4.654
39.002, -6.602, 4.693
39.368, -6.602, 4.727
39.734, -6.603, 4.757
40.101, -6.603, 4.784
40.467, -6.603, 4.807
40.833, -6.602, 4.828
41.199, -6.602, 4.846
41.565, -6.600, 4.862
41.932, -6.599, 4.877
42.298, -6.596, 4.892
42.664, -6.594, 4.907
43.030, -6.591, 4.923
43.396, -6.587, 4.940
43.763, -6.584, 4.959
44.129, -6.579, 4.979
44.495, -6.575, 5.002
44.861, -6.571, 5.026
45.228, -6.567, 5.053
45.594, -6.562, 5.083
45.960, -6.558, 5.114
46.326, -6.554, 5.146
46.692, -6.550, 5.180
47.059, -6.546, 5.216
47.425, -6.543, 5.251
47.791, -6.539, 5.287
48.157, -6.536, 5.323
48.523, -6.534, 5.358
48.890, -6.531, 5.392
49.256, -6.529, 5.426
49.622, -6.526, 5.458
49.988, -6.524, 5.490
50.355, -6.522, 5.520
50.721, -6.520, 5.549
51.087, -6.517, 5.576
51.453, -6.515, 5.603
51.819, -6.513, 5.629
52.186, -6.510, 5.654
52.552, -6.508, 5.678
52.918, -6.505, 5.702
53.284, -6.502, 5.726
53.650, -6.499, 5.750
54.017, -6.496, 5.774
54.383, -6.492, 5.798
54.749, -6.489, 5.823
55.115, -6.486, 5.848
55.482, -6.482, 5.874
55.848, -6.479, 5.899
56.214, -6.475, 5.925
56.580, -6.472, 5.952
56.946, -6.468, 5.979
57.313, -6.465, 6.007
57.679, -6.462, 6.034
58.045, -6.458, 6.060
58.411, -6.455, 6.085
58.778, -6.452, 6.111
59.144, -6.449, 6.138
59.510, -6.446, 6.165
59.876, -6.443, 6.193
60.242, -6.440, 6.220
60.609, -6.436, 6.246
60.975, -6.433, 6.271
61.341, -6.429, 6.294
61.707, -6.426, 6.317
62.073, -6.422, 6.341
62.440, -6.419, 6.365
62.806, -6.416, 6.390
63.172, -6.412, 6.414
63.538, -6.408, 6.439
63.905, -6.405, 6.463
64.271, -6.401, 6.488
64.637, -6.398, 6.513
65.003, -6.394, 6.538
65.369, -6.391, 6.564
65.736, -6.387, 6.589
66.102, -6.384, 6.614
66.468, -6.380, 6.639
66.834, -6.377, 6.664
67.200, -6.374, 6.689
67.567, -6.370, 6.714
67.933, -6.367, 6.739
68.299, -6.364, 6.763
68.665, -6.360, 6.786
69.032, -6.357, 6.809
69.398, -6.354, 6.831
69.764, -6.351, 6.853
70.130, -6.347, 6.874
70.496, -6.344, 6.895
70.863, -6.341, 6.916
71.229, -6.337, 6.937
71.595, -6.334, 6.957
71.961, -6.330, 6.977
72.327, -6.326, 6.998
72.694, -6.323, 7.018
73.060, -6.319, 7.038
73.426, -6.315, 7.059
73.792, -6.311, 7.080
74.159, -6.307, 7.101
74.525, -6.303, 7.122
74.891, -6.299, 7.144
75.257, -6.296, 7.166
75.623, -6.292, 7.188
75.990, -6.288, 7.211
76.356, -6.284, 7.233
76.722, -6.280, 7.256
77.088, -6.277, 7.278
77.454, -6.273, 7.301
77.821, -6.270, 7.323
78.187, -6.266, 7.345
78.553, -6.263, 7.366
78.919, -6.259, 7.388
79.286, -6.256, 7.409
79.652, -6.252, 7.429
80.018, -6.249, 7.449
80.384, -6.245, 7.469
80.750, -6.242, 7.488
81.117, -6.238, 7.506
81.483, -6.235, 7.524
81.849, -6.231, 7.542
82.215, -6.228, 7.560
82.581, -6.224, 7.577
82.948, -6.220, 7.595
83.314, -6.217, 7.612
83.680, -6.213, 7.630
84.046, -6.209, 7.647
84.413, -6.205, 7.665
84.779, -6.201, 7.683
85.145, -6.197, 7.700
85.511, -6.194, 7.719
85.877, -6.190, 7.737
86.244, -6.186, 7.755
86.610, -6.182, 7.774
86.976, -6.178, 7.792
87.342, -6.174, 7.811
87.709, -6.170, 7.829
88.075, -6.167, 7.848
88.441, -6.163, 7.866
88.807, -6.159, 7.884
89.173, -6.156, 7.902
89.540, -6.152, 7.920
89.906, -6.148, 7.938
90.272, -6.145, 7.955
90.638, -6.141, 7.972
91.004, -6.137, 7.989
91.371, -6.134, 8.005
91.737, -6.130, 8.021
92.103, -6.126, 8.037
92.469, -6.123, 8.053
92.836, -6.119, 8.069
93.202, -6.115, 8.085
93.568, -6.112, 8.100
93.934, -6.108, 8.116
94.300, -6.104, 8.131
94.667, -6.100, 8.146
95.033, -6.097, 8.161
95.399, -6.093, 8.176
95.765, -6.089, 8.191
96.131, -6.085, 8.207
96.498, -6.081, 8.222
96.864, -6.078, 8.237
97.230, -6.074, 8.252
97.596, -6.070, 8.267
97.963, -6.066, 8.282
98.329, -6.063, 8.296
98.695, -6.059, 8.311
99.061, -6.055, 8.326
99.427, -6.051, 8.340
99.794, -6.048, 8.355
100.160, -6.044, 8.369
100.526, -6.040, 8.383
100.892, -6.037, 8.397
101.258, -6.033, 8.411
101.625, -6.029, 8.424
101.991, -6.025, 8.438
102.357, -6.022, 8.451
102.723, -6.018, 8.464
103.090, -6.014, 8.478
103.456, -6.010, 8.491
103.822, -6.007, 8.504
104.188, -6.003, 8.518
104.554, -5.999, 8.531
104.921, -5.995, 8.544
105.287, -5.992, 8.556
105.653, -5.988, 8.569
106.019, -5.984, 8.582
106.385, -5.981, 8.595
106.752, -5.977, 8.608
107.118, -5.973, 8.621
107.484, -5.969, 8.634
107.850, -5.966, 8.646
108.217, -5.962, 8.658
108.583, -5.958, 8.670
108.949, -5.955, 8.682
109.315, -5.951, 8.694
109.681, -5.948, 8.705
110.048, -5.944, 8.717
110.414, -5.940, 8.728
110.780, -5.937, 8.739
111.146, -5.933, 8.750
111.512, -5.929, 8.761
111.879, -5.926, 8.772
112.245, -5.922, 8.782
112.611, -5.918, 8.793
112.977, -5.915, 8.804
113.344, -5.911, 8.814
113.710, -5.907, 8.825
114.076, -5.903, 8.836
114.442, -5.900, 8.846
114.808, -5.896, 8.857
115.175, -5.892, 8.867
115.541, -5.889, 8.878
115.907, -5.885, 8.889
116.273, -5.881, 8.899
116.639, -5.878, 8.910
117.006, -5.874, 8.920
117.372, -5.870, 8.931
117.738, -5.867, 8.941
118.104, -5.863, 8.952
118.471, -5.860, 8.962
118.837, -5.856, 8.972
119.203, -5.852, 8.981
119.569, -5.849, 8.990
119.935, -5.845, 8.999
120.302, -5.842, 9.009
120.668, -5.838, 9.018
121.034, -5.835, 9.027
121.400, -5.831, 9.036
121.767, -5.828, 9.045
122.133, -5.824, 9.054
122.499, -5.821, 9.062
122.865, -5.817, 9.070
123.231, -5.814, 9.078
123.598, -5.810, 9.087
123.964, -5.806, 9.095
124.330, -5.803, 9.103
124.696, -5.799, 9.111
125.062, -5.796, 9.120
125.429, -5.792, 9.128
125.795, -5.789, 9.136
126.161, -5.785, 9.144
126.527, -5.781, 9.152
126.894, -5.778, 9.161
127.260, -5.774, 9.169
127.626, -5.771, 9.177
127.992, -5.767, 9.185
128.358, -5.764, 9.193
128.725, -5.760, 9.201
129.091, -5.757, 9.209
129.457, -5.753, 9.216
129.823, -5.750, 9.224
130.189, -5.746, 9.231
130.556, -5.743, 9.239
130.922, -5.740, 9.246
131.288, -5.736, 9.253
131.654, -5.733, 9.260
132.021, -5.729, 9.267
132.387, -5.726, 9.274
132.753, -5.722, 9.281
133.119, -5.719, 9.287
133.485, -5.716, 9.294
133.852, -5.712, 9.300
134.218, -5.709, 9.307
134.584, -5.705, 9.313
134.950, -5.702, 9.319
135.316, -5.698, 9.326
135.683, -5.695, 9.332
136.049, -5.692, 9.338
136.415, -5.688, 9.344
136.781, -5.685, 9.350
137.148, -5.682, 9.356
137.514, -5.678, 9.363
137.880, -5.675, 9.369
138.246, -5.671, 9.375
138.612, -5.668, 9.381
138.979, -5.665, 9.386
139.345, -5.661, 9.392
139.711, -5.658, 9.398
140.077, -5.655, 9.403
140.443, -5.651, 9.409
140.810, -5.648, 9.415
141.176, -5.645, 9.420
141.542, -5.641, 9.425
141.908, -5.638, 9.430
142.275, -5.635, 9.435
142.641, -5.631, 9.440
143.007, -5.628, 9.445
143.373, -5.625, 9.451
143.739, -5.621, 9.456
144.106, -5.618, 9.461
144.472, -5.615, 9.465
144.838, -5.612, 9.470
145.204, -5.608, 9.475
145.570, -5.605, 9.480
145.937, -5.602, 9.485
146.303, -5.599, 9.490
146.669, -5.595, 9.494
147.035, -5.592, 9.499
147.402, -5.589, 9.503
147.768, -5.586, 9.508
148.134, -5.582, 9.512
148.500, -5.579, 9.516
148.866, -5.576, 9.520
149.233, -5.573, 9.525
149.599, -5.570, 9.528
149.965, -5.567, 9.532
150.331, -5.563, 9.536
150.698, -5.560, 9.540
151.064, -5.557, 9.544
151.430, -5.554, 9.548
151.796, -5.551, 9.552
152.162, -5.548, 9.555
152.529, -5.544, 9.558
152.895, -5.541, 9.562
153.261, -5.538, 9.565
153.627, -5.535, 9.569
153.993, -5.532, 9.572
154.360, -5.529, 9.576
154.726, -5.526, 9.579
155.092, -5.522, 9.583
