Frequency (Hz),Magnitude (dB),
20.507812,-2.858262,
23.437500,-2.847165,
26.367188,-2.833188,
29.296875,-2.819032,
32.226562,-2.802690,
35.156250,-2.785790,
38.085938,-2.767259,
41.015625,-2.747773,
43.945312,-2.726907,
46.875000,-2.705270,
49.804688,-2.670012,
52.734375,-2.658196,
55.664062,-2.633691,
58.593750,-2.608266,
61.523438,-2.582311,
67.382812,-2.528188,
70.312500,-2.500333,
73.242188,-2.471990,
79.101562,-2.414132,
82.031250,-2.384683,
87.890625,-2.325166,
93.750000,-2.265046,
99.609375,-2.189532,
105.468750,-2.144545,
111.328125,-2.084684,
117.187500,-2.025384,
125.976562,-1.937982,
131.835938,-1.880990,
140.625000,-1.797688,
149.414062,-1.704261,
158.203125,-1.640378,
166.992188,-1.566293,
175.781250,-1.495744,
187.500000,-1.406449,
199.218750,-1.312870,
210.937500,-1.245153,
222.656250,-1.172381,
237.304688,-1.088378,
249.023438,-1.019189,
263.671875,-0.955463,
281.250000,-0.877786,
295.898438,-0.814068,
316.406250,-0.746008,
333.984375,-0.689377,
354.492188,-0.626684,
375.000000,-0.578465,
395.507812,-0.528818,
421.875000,-0.479346,
445.312500,-0.436098,
471.679688,-0.398199,
500.976562,-0.357300,
530.273438,-0.325208,
562.500000,-0.291517,
594.726562,-0.263803,
629.882812,-0.238535,
667.968750,-0.213077,
706.054688,-0.192179,
750.000000,-0.171407,
793.945312,-0.153688,
840.820312,-0.137552,
890.625000,-0.122892,
943.359375,-0.109705,
1060.546875,-0.086733,
1122.070312,-0.077259,
1189.453125,-0.068317,
1259.765625,-0.060752,
1335.937500,-0.053500,
1415.039062,-0.047391,
1497.070312,-0.041792,
1587.890625,-0.036649,
1681.640625,-0.032211,
1781.250000,-0.028215,
1886.718750,-0.024669,
2000.976562,-0.021447,
2118.164062,-0.018631,
2244.140625,-0.016057,
2378.906250,-0.013744,
2519.531250,-0.011731,
2668.945312,-0.009956,
2827.148438,-0.008396,
2997.070312,-0.006977,
3175.781250,-0.005736,
3363.281250,-0.004673,
3562.500000,-0.003731,
3776.367188,-0.002924,
3999.023438,-0.002209,
4236.328125,-0.001611,
4488.281250,-0.001118,
4757.812500,-0.000702,
5039.062500,-0.000410,
5337.890625,-0.000213,
5657.226562,-0.000067,
5994.140625,0.000000,
6348.632812,-0.000003,
6726.562500,-0.000117,
7127.929688,-0.000296,
7549.804688,-0.000552,
7998.046875,-0.000909,
8475.585938,-0.001355,
8979.492188,-0.001897,
9512.695312,-0.002542,
10078.125000,-0.003303,
10678.710938,-0.004198,
11314.453125,-0.005253,
11985.351562,-0.006432,
12697.265625,-0.007808,
13453.125000,-0.009424,
14252.929688,-0.011266,
15099.609375,-0.013371,
15999.023438,-0.015751,
16951.171875,-0.018464,
17958.984375,-0.021554,
19025.390625,-0.025072,
20156.250000,-0.029085,
