Frequency (Hz),Magnitude (dB),
20.507812,-0.392151,
23.437500,-0.386086,
26.367188,-0.378906,
29.296875,-0.370941,
32.226562,-0.361763,
35.156250,-0.352310,
38.085938,-0.342346,
41.015625,-0.331596,
43.945312,-0.320480,
46.875000,-0.308990,
49.804688,-0.290604,
52.734375,-0.284538,
55.664062,-0.271942,
58.593750,-0.259094,
61.523438,-0.246559,
67.382812,-0.221115,
70.312500,-0.208534,
73.242188,-0.195892,
79.101562,-0.171272,
82.031250,-0.159325,
87.890625,-0.135986,
93.750000,-0.114166,
99.609375,-0.089413,
105.468750,-0.075974,
111.328125,-0.059484,
117.187500,-0.044928,
125.976562,-0.026922,
131.835938,-0.017502,
140.625000,-0.007156,
149.414062,-0.000900,
158.203125,0.000000,
166.992188,-0.001976,
175.781250,-0.008163,
187.500000,-0.020584,
199.218750,-0.040133,
210.937500,-0.059225,
222.656250,-0.084042,
237.304688,-0.118734,
249.023438,-0.152750,
263.671875,-0.188492,
281.250000,-0.237747,
295.898438,-0.284681,
316.406250,-0.339001,
333.984375,-0.388037,
354.492188,-0.448244,
375.000000,-0.498413,
395.507812,-0.553566,
421.875000,-0.612438,
445.312500,-0.667297,
471.679688,-0.718576,
500.976562,-0.776258,
530.273438,-0.823704,
562.500000,-0.875610,
594.726562,-0.920073,
629.882812,-0.961702,
667.968750,-1.005310,
706.054688,-1.042566,
750.000000,-1.080086,
793.945312,-1.112991,
840.820312,-1.143728,
890.625000,-1.172064,
943.359375,-1.198133,
1060.546875,-1.244734,
1122.070312,-1.264063,
1189.453125,-1.282740,
1259.765625,-1.298759,
1335.937500,-1.314121,
1415.039062,-1.327309,
1497.070312,-1.339323,
1587.890625,-1.350449,
1681.640625,-1.360279,
1781.250000,-1.369099,
1886.718750,-1.377117,
2000.976562,-1.384495,
2118.164062,-1.390936,
2244.140625,-1.396801,
2378.906250,-1.401997,
2519.531250,-1.406721,
2668.945312,-1.410978,
2827.148438,-1.414749,
2997.070312,-1.418190,
3175.781250,-1.421360,
3363.281250,-1.424116,
3562.500000,-1.426588,
3776.367188,-1.428913,
3999.023438,-1.431040,
4236.328125,-1.432962,
4488.281250,-1.434866,
4757.812500,-1.436546,
5039.062500,-1.438129,
5337.890625,-1.439617,
5657.226562,-1.441025,
5994.140625,-1.442423,
6348.632812,-1.443802,
6726.562500,-1.445137,
7127.929688,-1.446421,
7549.804688,-1.447752,
7998.046875,-1.449162,
8475.585938,-1.450623,
8979.492188,-1.452179,
9512.695312,-1.453848,
10078.125000,-1.455578,
10678.710938,-1.457523,
11314.453125,-1.459675,
11985.351562,-1.461905,
12697.265625,-1.464392,
13453.125000,-1.467312,
14252.929688,-1.470495,
15099.609375,-1.474016,
15999.023438,-1.477966,
16951.171875,-1.482346,
17958.984375,-1.487347,
19025.390625,-1.492977,
20156.250000,-1.499296,
