Frequency (Hz),Magnitude (dB),
2.929688,-2.422681,
5.859375,-2.378426,
8.789062,-2.350371,
11.718750,-2.350653,
14.648438,-2.333345,
17.578125,-2.331604,
20.507812,-2.313001,
23.437500,-2.308164,
26.367188,-2.287086,
29.296875,-2.279303,
32.226562,-2.255771,
35.156250,-2.245081,
38.085938,-2.219236,
41.015625,-2.205935,
43.945312,-2.178022,
46.875000,-2.162408,
49.804688,-2.132622,
52.734375,-2.115060,
55.664062,-2.083686,
58.593750,-2.064457,
61.523438,-2.031957,
64.453125,-2.010794,
67.382812,-1.977336,
70.312500,-1.955069,
73.242188,-1.920859,
76.171875,-1.897672,
79.101562,-1.862995,
82.031250,-1.839011,
84.960938,-1.804052,
87.890625,-1.779575,
90.820312,-1.744574,
93.750000,-1.719738,
96.679688,-1.684811,
99.609375,-1.659789,
102.539062,-1.625150,
105.468750,-1.600052,
108.398438,-1.565816,
111.328125,-1.540841,
114.257812,-1.507137,
117.187500,-1.482344,
120.117188,-1.449207,
123.046875,-1.424826,
125.976562,-1.392383,
128.906250,-1.368334,
131.835938,-1.336614,
134.765625,-1.312987,
137.695312,-1.282121,
140.625000,-1.258979,
143.554688,-1.228889,
146.484375,-1.206306,
149.414062,-1.177051,
152.343750,-1.155084,
155.273438,-1.126678,
158.203125,-1.105300,
161.132812,-1.077796,
164.062500,-1.057016,
166.992188,-1.030385,
169.921875,-1.010212,
172.851562,-0.984445,
175.781250,-0.964891,
178.710938,-0.940052,
181.640625,-0.921265,
184.570312,-0.897034,
187.500000,-0.878817,
190.429688,-0.855516,
193.359375,-0.837911,
196.289062,-0.815416,
199.218750,-0.798389,
202.148438,-0.776713,
205.078125,-0.760272,
208.007812,-0.739399,
210.937500,-0.723534,
213.867188,-0.703359,
216.796875,-0.688053,
219.726562,-0.668630,
222.656250,-0.653878,
225.585938,-0.635163,
228.515625,-0.620938,
231.445312,-0.602877,
234.375000,-0.589168,
237.304688,-0.571799,
240.234375,-0.558621,
243.164062,-0.541775,
246.093750,-0.529112,
249.023438,-0.512945,
251.953125,-0.500723,
254.882812,-0.485149,
257.812500,-0.473322,
260.742188,-0.458327,
263.671875,-0.446974,
266.601562,-0.432476,
269.531250,-0.421523,
272.460938,-0.407624,
275.390625,-0.397047,
278.320312,-0.383645,
281.250000,-0.373463,
284.179688,-0.360489,
287.109375,-0.350678,
290.039062,-0.338216,
292.968750,-0.328736,
295.898438,-0.316793,
298.828125,-0.307479,
301.757812,-0.295693,
304.687500,-0.287262,
307.617188,-0.275948,
310.546875,-0.267581,
313.476562,-0.256658,
316.406250,-0.248570,
319.335938,-0.238055,
322.265625,-0.230286,
325.195312,-0.220106,
328.125000,-0.212565,
331.054688,-0.202771,
333.984375,-0.195496,
336.914062,-0.186086,
339.843750,-0.179074,
342.773438,-0.169937,
345.703125,-0.163151,
348.632812,-0.154376,
351.562500,-0.147834,
354.492188,-0.139271,
357.421875,-0.132972,
360.351562,-0.124699,
363.281250,-0.118565,
366.210938,-0.110640,
369.140625,-0.104729,
372.070312,-0.097037,
375.000000,-0.091327,
377.929688,-0.083898,
380.859375,-0.078355,
383.789062,-0.071147,
386.718750,-0.065883,
389.648438,-0.058887,
392.578125,-0.053736,
395.507812,-0.046961,
398.437500,-0.041982,
401.367188,-0.035424,
404.296875,-0.030605,
407.226562,-0.024248,
410.156250,-0.019551,
413.085938,-0.013445,
416.015625,-0.008896,
418.945312,-0.003065,
421.875000,0.001328,
424.804688,0.007189,
427.734375,0.011342,
430.664062,0.016993,
433.593750,0.021054,
436.523438,0.026518,
439.453125,0.030432,
442.382812,0.035727,
445.312500,0.039573,
448.242188,0.044664,
451.171875,0.048371,
454.101562,0.053410,
457.031250,0.056951,
459.960938,0.061805,
462.890625,0.065267,
465.820312,0.070015,
468.750000,0.073358,
