Frequency (Hz),Magnitude (dB),
2.929688,0.902513,
5.859375,0.919655,
8.789062,0.926336,
11.718750,0.921962,
14.648438,0.930101,
17.578125,0.928385,
20.507812,0.939173,
23.437500,0.939905,
26.367188,0.952829,
29.296875,0.955201,
32.226562,0.969728,
35.156250,0.973879,
38.085938,0.989674,
41.015625,0.994952,
43.945312,1.011829,
46.875000,1.018107,
49.804688,1.035769,
52.734375,1.042638,
55.664062,1.060827,
58.593750,1.068183,
61.523438,1.085621,
64.453125,1.093881,
67.382812,1.111988,
70.312500,1.119795,
73.242188,1.137659,
76.171875,1.145151,
79.101562,1.162682,
82.031250,1.169796,
84.960938,1.186714,
87.890625,1.193383,
90.820312,1.209522,
93.750000,1.215493,
96.679688,1.230784,
99.609375,1.236114,
102.539062,1.250494,
105.468750,1.254928,
108.398438,1.268285,
111.328125,1.271861,
114.257812,1.284227,
117.187500,1.286802,
120.117188,1.298305,
123.046875,1.299955,
125.976562,1.310316,
128.906250,1.310960,
131.835938,1.320268,
134.765625,1.320045,
137.695312,1.328266,
140.625000,1.327130,
143.554688,1.334452,
146.484375,1.332318,
149.414062,1.338708,
152.343750,1.335788,
155.273438,1.341172,
158.203125,1.337392,
161.132812,1.342078,
164.062500,1.337521,
166.992188,1.341181,
169.921875,1.335948,
172.851562,1.338993,
175.781250,1.332884,
178.710938,1.335573,
181.640625,1.328929,
184.570312,1.330178,
187.500000,1.323143,
190.429688,1.323966,
193.359375,1.316351,
196.289062,1.316680,
199.218750,1.308502,
202.148438,1.308373,
205.078125,1.299748,
208.007812,1.299063,
210.937500,1.290067,
213.867188,1.289035,
216.796875,1.279664,
219.726562,1.278213,
222.656250,1.268397,
225.585938,1.266734,
228.515625,1.256616,
231.445312,1.254690,
234.375000,1.244251,
237.304688,1.242017,
240.234375,1.231491,
243.164062,1.228818,
246.093750,1.218064,
249.023438,1.215405,
251.953125,1.204378,
254.882812,1.201509,
257.812500,1.190401,
260.742188,1.187478,
263.671875,1.176177,
266.601562,1.173132,
269.531250,1.161716,
272.460938,1.158646,
275.390625,1.147066,
278.320312,1.143940,
281.250000,1.132352,
284.179688,1.129106,
287.109375,1.117420,
290.039062,1.114308,
292.968750,1.102661,
295.898438,1.099558,
298.828125,1.088027,
301.757812,1.083609,
304.687500,1.072603,
307.617188,1.069292,
310.546875,1.057728,
313.476562,1.054397,
316.406250,1.042881,
319.335938,1.039578,
322.265625,1.028025,
325.195312,1.024907,
328.125000,1.013398,
331.054688,1.010286,
333.984375,0.998860,
336.914062,0.995860,
339.843750,0.984374,
342.773438,0.981451,
345.703125,0.970101,
348.632812,0.967181,
351.562500,0.955930,
354.492188,0.953103,
357.421875,0.941818,
360.351562,0.939376,
363.281250,0.928001,
366.210938,0.925377,
369.140625,0.914298,
372.070312,0.911864,
375.000000,0.900764,
377.929688,0.898413,
380.859375,0.887554,
383.789062,0.885269,
386.718750,0.874447,
389.648438,0.872253,
392.578125,0.861452,
395.507812,0.859441,
398.437500,0.848677,
401.367188,0.846846,
404.296875,0.836190,
407.226562,0.834361,
410.156250,0.823914,
413.085938,0.822218,
416.015625,0.811776,
418.945312,0.809781,
421.875000,0.800015,
424.804688,0.798501,
427.734375,0.788240,
430.664062,0.786809,
433.593750,0.776737,
436.523438,0.775459,
439.453125,0.765465,
442.382812,0.764224,
445.312500,0.754295,
448.242188,0.753248,
451.171875,0.743366,
454.101562,0.742429,
457.031250,0.732678,
459.960938,0.731854,
462.890625,0.722162,
465.820312,0.721437,
468.750000,0.711749,
471.679688,0.711287,
474.609375,0.701708,
477.539062,0.701427,
480.468750,0.691862,
483.398438,0.691296,
486.328125,0.682097,
489.257812,0.681719,
492.187500,0.672501,
495.117188,0.672347,
498.046875,0.663129,
500.976562,0.663119,
503.906250,0.654017,
506.835938,0.653963,
509.765625,0.644932,
512.695312,0.645033,
515.625000,0.636133,
518.554688,0.636298,
521.484375,0.627405,
524.414062,0.627734,
527.343750,0.618977,
530.273438,0.619179,
533.203125,0.610625,
536.132812,0.610795,
539.062500,0.602491,
541.992188,0.603525,
544.921875,0.594497,
547.851562,0.595361,
550.781250,0.586580,
553.710938,0.587458,
556.640625,0.578894,
559.570312,0.579882,
562.500000,0.571332,
565.429688,0.572289,
568.359375,0.563845,
571.289062,0.564875,
574.218750,0.556583,
577.148438,0.557701,
580.078125,0.549505,
583.007812,0.550737,
585.937500,0.542514,
588.867188,0.543774,
591.796875,0.535664,
594.726562,0.536983,
597.656250,0.528948,
600.585938,0.530491,
603.515625,0.522360,
606.445312,0.523906,
609.375000,0.515947,
612.304688,0.517454,
615.234375,0.509571,
618.164062,0.511189,
621.093750,0.503321,
624.023438,0.504996,
