Frequency (Hz),Magnitude (dB),
10.766602,-8.141129,
12.112427,-8.203061,
13.458252,-8.258961,
14.804077,-8.290300,
16.149902,-8.321481,
17.495728,-8.337822,
18.841553,-8.355801,
20.187378,-8.363921,
21.533203,-8.374151,
22.879028,-8.377342,
24.224854,-8.382666,
25.570679,-8.382717,
26.916504,-8.384761,
28.262329,-8.382697,
29.608154,-8.382476,
30.953979,-8.378954,
32.299805,-8.377136,
33.645630,-8.372606,
34.991455,-8.369656,
36.337280,-8.364452,
37.683105,-8.360731,
39.028931,-8.355118,
40.374756,-8.350916,
41.720581,-8.345107,
43.066406,-8.340670,
44.412231,-8.334870,
45.758057,-8.330413,
47.103882,-8.324796,
48.449707,-8.320527,
49.795532,-8.315268,
51.141357,-8.311369,
52.487183,-8.306637,
53.833008,-8.303286,
55.178833,-8.299242,
56.524658,-8.296615,
57.870483,-8.293426,
59.216309,-8.291691,
60.562134,-8.289499,
61.907959,-8.288817,
63.253784,-8.287785,
64.599609,-8.288310,
65.945435,-8.288584,
67.291260,-8.290462,
68.637085,-8.292175,
69.982910,-8.295550,
71.328735,-8.298832,
72.674561,-8.303829,
74.020386,-8.308799,
75.366211,-8.315532,
76.712036,-8.322293,
78.057861,-8.330862,
79.403687,-8.339507,
80.749512,-8.349997,
82.095337,-8.360589,
83.441162,-8.373062,
84.786987,-8.385660,
86.132812,-8.400162,
87.478638,-8.414803,
88.824463,-8.431348,
90.170288,-8.448033,
91.516113,-8.466631,
92.861938,-8.485354,
94.207764,-8.505975,
95.553589,-8.526700,
96.899414,-8.549303,
98.245239,-8.571975,
99.591064,-8.596488,
100.936890,-8.621029,
102.282715,-8.647360,
103.628540,-8.673667,
104.974365,-8.701711,
106.320190,-8.729666,
107.666016,-8.759293,
109.011841,-8.788761,
110.357666,-8.819827,
111.703491,-8.850657,
113.049316,-8.883001,
114.395142,-8.915033,
115.740967,-8.948486,
117.086792,-8.981543,
118.432617,-9.015929,
119.778442,-9.049832,
121.124268,-9.084967,
122.470093,-9.119539,
123.815918,-9.155237,
125.161743,-9.190283,
126.507568,-9.226357,
127.853394,-9.261704,
129.199219,-9.297972,
130.545044,-9.333432,
131.890869,-9.369715,
133.236694,-9.405119,
134.582520,-9.441250,
135.928345,-9.476428,
137.274170,-9.512230,
138.619995,-9.547031,
139.965820,-9.582363,
141.311646,-9.616638,
142.657471,-9.651353,
144.003296,-9.684965,
145.349121,-9.718933,
146.694946,-9.751757,
148.040771,-9.784864,
149.386597,-9.816792,
150.732422,-9.848927,
152.078247,-9.879864,
153.424072,-9.910933,
154.769897,-9.940796,
156.115723,-9.970730,
157.461548,-9.999439,
158.807373,-10.028160,
160.153198,-10.055658,
161.499023,-10.083116,
162.844849,-10.109360,
164.190674,-10.135508,
165.536499,-10.160454,
166.882324,-10.185263,
168.228149,-10.208879,
169.573975,-10.232327,
170.919800,-10.254606,
172.265625,-10.276674,
173.611450,-10.297598,
