Frequency (Hz),Magnitude (dB),
10.766602,-4.700472,
12.112427,-4.718134,
13.458252,-4.757684,
14.804077,-4.760629,
16.149902,-4.779362,
17.495728,-4.775241,
18.841553,-4.782229,
20.187378,-4.774050,
21.533203,-4.773600,
22.879028,-4.762723,
24.224854,-4.757155,
25.570679,-4.744277,
26.916504,-4.734945,
28.262329,-4.720453,
29.608154,-4.708230,
30.953979,-4.692396,
32.299805,-4.677885,
33.645630,-4.660912,
34.991455,-4.644560,
36.337280,-4.626603,
37.683105,-4.608764,
39.028931,-4.589986,
40.374756,-4.570953,
41.720581,-4.551503,
43.066406,-4.531530,
44.412231,-4.511560,
45.758057,-4.490893,
47.103882,-4.470555,
48.449707,-4.449405,
49.795532,-4.428850,
51.141357,-4.407423,
52.487183,-4.386807,
53.833008,-4.365302,
55.178833,-4.344783,
56.524658,-4.323393,
57.870483,-4.303124,
59.216309,-4.282033,
60.562134,-4.262172,
61.907959,-4.241553,
63.253784,-4.222248,
64.599609,-4.202265,
65.945435,-4.183666,
67.291260,-4.164477,
68.637085,-4.146714,
69.982910,-4.128462,
71.328735,-4.111661,
72.674561,-4.094476,
74.020386,-4.078753,
75.366211,-4.062744,
76.712036,-4.048196,
78.057861,-4.033457,
79.403687,-4.020171,
80.749512,-4.006781,
82.095337,-3.994805,
83.441162,-3.982810,
84.786987,-3.972191,
86.132812,-3.961620,
87.478638,-3.952373,
88.824463,-3.943228,
90.170288,-3.935349,
91.516113,-3.927603,
92.861938,-3.921052,
94.207764,-3.914672,
95.553589,-3.909392,
96.899414,-3.904293,
98.245239,-3.900206,
99.591064,-3.896295,
100.936890,-3.893294,
102.282715,-3.890450,
103.628540,-3.888411,
104.974365,-3.886501,
106.320190,-3.885280,
107.666016,-3.884141,
109.011841,-3.883579,
110.357666,-3.883045,
111.703491,-3.882970,
113.049316,-3.882865,
114.395142,-3.883101,
115.740967,-3.883240,
117.086792,-3.883605,
118.432617,-3.883806,
119.778442,-3.884126,
121.124268,-3.884206,
122.470093,-3.884316,
123.815918,-3.884116,
125.161743,-3.883849,
126.507568,-3.883223,
127.853394,-3.882455,
129.199219,-3.881270,
130.545044,-3.879882,
131.890869,-3.878045,
133.236694,-3.875965,
134.582520,-3.873412,
135.928345,-3.870590,
137.274170,-3.867294,
138.619995,-3.863729,
139.965820,-3.859713,
141.311646,-3.855443,
142.657471,-3.850763,
144.003296,-3.845871,
145.349121,-3.840641,
146.694946,-3.835255,
148.040771,-3.829629,
149.386597,-3.823922,
150.732422,-3.818092,
152.078247,-3.812278,
153.424072,-3.806485,
154.769897,-3.800810,
156.115723,-3.795314,
157.461548,-3.790055,
158.807373,-3.785141,
160.153198,-3.780587,
161.499023,-3.776551,
162.844849,-3.772987,
164.190674,-3.770118,
165.536499,-3.767827,
166.882324,-3.766401,
168.228149,-3.765643,
169.573975,-3.765899,
170.919800,-3.766892,
172.265625,-3.769027,
173.611450,-3.771946,
174.957275,-3.776114,
176.303101,-3.781073,
177.648926,-3.787353,
178.994751,-3.794418,
180.340576,-3.802840,
181.686401,-3.812002,
183.032227,-3.822531,
184.378052,-3.833725,
185.723877,-3.846271,
187.069702,-3.859383,
188.415527,-3.873797,
189.761353,-3.888663,
191.107178,-3.904763,
192.453003,-3.921187,
193.798828,-3.938752,
195.144653,-3.956507,
196.490479,-3.975307,
197.836304,-3.994152,
199.182129,-4.013934,
200.527954,-4.033623,
201.873779,-4.054139,
203.219604,-4.074431,
204.565430,-4.095440,
205.911255,-4.116098,
207.257080,-4.137373,
208.602905,-4.158183,
209.948730,-4.179506,
211.294556,-4.200273,
212.640381,-4.221455,
213.986206,-4.242000,
215.332031,-4.262871,
216.677856,-4.283041,
218.023682,-4.303461,
219.369507,-4.323125,
220.715332,-4.342967,
222.061157,-4.362021,
223.406982,-4.381183,
224.752808,-4.399536,
226.098633,-4.417946,
227.444458,-4.435530,
228.790283,-4.453124,
230.136108,-4.469887,
231.481934,-4.486622,
232.827759,-4.502531,
234.173584,-4.518373,
235.519409,-4.533411,
236.865234,-4.548348,
238.211060,-4.562501,
239.556885,-4.576525,
240.902710,-4.589793,
242.248535,-4.602912,
243.594360,-4.615306,
244.940186,-4.627527,
246.286011,-4.639061,
247.631836,-4.650406,
248.977661,-4.661102,
250.323486,-4.671593,
251.669312,-4.681472,
253.015137,-4.691139,
254.360962,-4.700237,
255.706787,-4.709104,
257.052612,-4.717448,
258.398438,-4.725554,
259.744263,-4.733179,
261.090088,-4.740558,
262.435913,-4.747499,
263.781738,-4.754182,
265.127563,-4.760476,
266.473389,-4.766504,
267.819214,-4.772185,
269.165039,-4.777593,
270.510864,-4.782696,
271.856689,-4.787524,
273.202515,-4.792089,
274.548340,-4.796366,
275.894165,-4.800429,
277.239990,-4.804198,
278.585815,-4.807792,
279.931641,-4.811082,
281.277466,-4.814240,
282.623291,-4.817096,
283.969116,-4.819853,
285.314941,-4.822299,
286.660767,-4.824689,
288.006592,-4.826761,
289.352417,-4.828814,
290.698242,-4.830544,
292.044067,-4.832291,
293.389893,-4.833712,
294.735718,-4.835182,
296.081543,-4.836322,
297.427368,-4.837543,
298.773193,-4.838431,
300.119019,-4.839431,
301.464844,-4.840094,
302.810669,-4.840899,
304.156494,-4.841363,
305.502319,-4.841999,
306.848145,-4.842286,
308.193970,-4.842775,
309.539795,-4.842913,
310.885620,-4.843277,
312.231445,-4.843282,
313.577271,-4.843543,
314.923096,-4.843438,
316.268921,-4.843611,
317.614746,-4.843414,
318.960571,-4.843515,
320.306396,-4.843243,
321.652222,-4.843291,
322.998047,-4.842952,
324.343872,-4.842957,
325.689697,-4.842568,
327.035522,-4.842537,
328.381348,-4.842106,
329.727173,-4.842049,
331.072998,-4.841579,
332.418823,-4.841499,
333.764648,-4.840992,
335.110474,-4.840889,
336.456299,-4.840348,
337.802124,-4.840219,
339.147949,-4.839634,
340.493774,-4.839475,
341.839600,-4.838838,
343.185425,-4.838634,
344.531250,-4.837934,
345.877075,-4.837672,
347.222900,-4.836891,
348.568726,-4.836549,
349.914551,-4.835664,
351.260376,-4.835220,
352.606201,-4.834209,
353.952026,-4.833631,
355.297852,-4.832458,
356.643677,-4.831714,
357.989502,-4.830345,
359.335327,-4.829401,
360.681152,-4.827796,
362.026978,-4.826611,
363.372803,-4.824729,
364.718628,-4.823256,
366.064453,-4.821053,
367.410278,-4.819253,
368.756104,-4.816679,
370.101929,-4.814501,
371.447754,-4.811516,
372.793579,-4.808913,
374.139404,-4.805464,
375.485229,-4.802394,
376.831055,-4.798444,
378.176880,-4.794861,
379.522705,-4.790367,
380.868530,-4.786230,
382.214355,-4.781158,
383.560181,-4.776442,
384.906006,-4.770756,
386.251831,-4.765427,
387.597656,-4.759109,
388.943481,-4.753150,
390.289307,-4.746180,
391.635132,-4.739580,
392.980957,-4.731952,
394.326782,-4.724708,
395.672607,-4.716421,
397.018433,-4.708536,
398.364258,-4.699603,
399.710083,-4.691085,
401.055908,-4.681524,
402.401733,-4.672400,
403.747559,-4.662232,
405.093384,-4.652527,
406.439209,-4.641783,
407.785034,-4.631533,
409.130859,-4.620252,
410.476685,-4.609490,
411.822510,-4.597717,
413.168335,-4.586487,
414.514160,-4.574262,
415.859985,-4.562611,
417.205811,-4.549980,
418.551636,-4.537955,
419.897461,-4.524965,
421.243286,-4.512609,
422.589111,-4.499312,
423.934937,-4.486674,
425.280762,-4.473114,
426.626587,-4.460238,
427.972412,-4.446459,
429.318237,-4.433389,
430.664062,-4.419432,
432.009888,-4.406210,
433.355713,-4.392118,
434.701538,-4.378778,
436.047363,-4.364586,
437.393188,-4.351165,
438.739014,-4.336906,
440.084839,-4.323437,
441.430664,-4.309142,
442.776489,-4.295649,
444.122314,-4.281343,
445.468140,-4.267855,
446.813965,-4.253564,
448.159790,-4.240098,
449.505615,-4.225845,
450.851440,-4.212422,
452.197266,-4.198221,
453.543091,-4.184856,
454.888916,-4.170723,
456.234741,-4.157433,
457.580566,-4.143382,
458.926392,-4.130173,
460.272217,-4.116216,
461.618042,-4.103102,
462.963867,-4.089242,
464.309692,-4.076228,
465.655518,-4.062475,
467.001343,-4.049566,
468.347168,-4.035926,
469.692993,-4.023127,
471.038818,-4.009606,
472.384644,-3.996921,
473.730469,-3.983516,
475.076294,-3.970946,
476.422119,-3.957661,
477.767944,-3.945210,
479.113770,-3.932048,
480.459595,-3.919710,
481.805420,-3.906671,
483.151245,-3.894452,
484.497070,-3.881532,
485.842896,-3.869427,
487.188721,-3.856626,
488.534546,-3.844638,
489.880371,-3.831957,
491.226196,-3.820080,
492.572021,-3.807515,
493.917847,-3.795748,
495.263672,-3.783301,
496.609497,-3.771644,
497.955322,-3.759310,
499.301147,-3.747757,
500.646973,-3.735534,
501.992798,-3.724088,
503.338623,-3.711971,
504.684448,-3.700628,
506.030273,-3.688617,
507.376099,-3.677373,
508.721924,-3.665467,
510.067749,-3.654323,
511.413574,-3.642514,
512.759399,-3.631463,
514.105225,-3.619758,
515.451050,-3.608799,
516.796875,-3.597189,
518.142700,-3.586321,
519.488525,-3.574808,
520.834351,-3.564023,
522.180176,-3.552603,
523.526001,-3.541906,
524.871826,-3.530574,
526.217651,-3.519964,
527.563477,-3.508722,
528.909302,-3.498191,
530.255127,-3.487033,
531.600952,-3.476583,
532.946777,-3.465512,
534.292603,-3.455141,
535.638428,-3.444153,
536.984253,-3.433857,
538.330078,-3.422950,
539.675903,-3.412729,
541.021729,-3.401903,
542.367554,-3.391757,
543.713379,-3.381008,
545.059204,-3.370934,
546.405029,-3.360263,
547.750854,-3.350259,
549.096680,-3.339665,
550.442505,-3.329731,
551.788330,-3.319213,
553.134155,-3.309350,
554.479980,-3.298904,
555.825806,-3.289107,
557.171631,-3.278737,
558.517456,-3.269007,
559.863281,-3.258709,
561.209106,-3.249045,
562.554932,-3.238817,
563.900757,-3.229220,
565.246582,-3.219064,
566.592407,-3.209531,
567.938232,-3.199446,
569.284058,-3.189980,
570.629883,-3.179965,
571.975708,-3.170560,
573.321533,-3.160615,
574.667358,-3.151274,
576.013184,-3.141399,
577.359009,-3.132123,
578.704834,-3.122315,
580.050659,-3.113104,
581.396484,-3.103365,
582.742310,-3.094216,
584.088135,-3.084546,
585.433960,-3.075459,
586.779785,-3.065859,
588.125610,-3.056836,
589.471436,-3.047304,
590.817261,-3.038345,
592.163086,-3.028880,
593.508911,-3.019984,
594.854736,-3.010590,
596.200562,-3.001755,
597.546387,-2.992432,
598.892212,-2.983661,
600.238037,-2.974403,
601.583862,-2.965697,
602.929688,-2.956510,
604.275513,-2.947869,
605.621338,-2.938751,
606.967163,-2.930173,
608.312988,-2.921125,
609.658813,-2.912613,
611.004639,-2.903634,
612.350464,-2.895186,
613.696289,-2.886280,
615.042114,-2.877898,
616.387939,-2.869060,
617.733765,-2.860745,
619.079590,-2.851979,
620.425415,-2.843730,
621.771240,-2.835037,
623.117065,-2.826854,
624.462891,-2.818234,
625.808716,-2.810116,
627.154541,-2.801570,
628.500366,-2.793520,
629.846191,-2.785048,
631.192017,-2.777067,
632.537842,-2.768668,
633.883667,-2.760757,
635.229492,-2.752432,
636.575317,-2.744590,
637.921143,-2.736340,
639.266968,-2.728569,
640.612793,-2.720395,
641.958618,-2.712693,
643.304443,-2.704597,
644.650269,-2.696967,
645.996094,-2.688946,
647.341919,-2.681389,
648.687744,-2.673445,
650.033569,-2.665960,
651.379395,-2.658095,
652.725220,-2.650683,
654.071045,-2.642897,
655.416870,-2.635560,
656.762695,-2.627852,
658.108521,-2.620590,
659.454346,-2.612963,
660.800171,-2.605775,
662.145996,-2.598230,
663.491821,-2.591116,
664.837646,-2.583653,
666.183472,-2.576618,
667.529297,-2.569233,
668.875122,-2.562277,
670.220947,-2.554975,
671.566772,-2.548097,
672.912598,-2.540877,
674.258423,-2.534075,
675.604248,-2.526943,
676.950073,-2.520222,
678.295898,-2.513170,
679.641724,-2.506528,
680.987549,-2.499564,
682.333374,-2.493001,
683.679199,-2.486123,
685.025024,-2.479641,
686.370850,-2.472849,
687.716675,-2.466447,
689.062500,-2.459742,
690.408325,-2.453422,
691.754150,-2.446804,
693.099976,-2.440566,
694.445801,-2.434035,
695.791626,-2.427885,
697.137451,-2.421440,
698.483276,-2.415372,
699.829102,-2.409018,
701.174927,-2.403033,
702.520752,-2.396765,
703.866577,-2.390867,
705.212402,-2.384691,
706.558228,-2.378875,
707.904053,-2.372792,
709.249878,-2.367060,
710.595703,-2.361065,
711.941528,-2.355422,
713.287354,-2.349514,
714.633179,-2.343960,
715.979004,-2.338146,
717.324829,-2.332675,
718.670654,-2.326953,
720.016479,-2.321569,
721.362305,-2.315939,
722.708130,-2.310642,
724.053955,-2.305106,
725.399780,-2.299896,
726.745605,-2.294451,
728.091431,-2.289328,
729.437256,-2.283976,
730.783081,-2.278944,
732.128906,-2.273685,
733.474731,-2.268739,
734.820557,-2.263572,
736.166382,-2.258715,
737.512207,-2.253640,
738.858032,-2.248874,
740.203857,-2.243894,
741.549683,-2.239217,
742.895508,-2.234329,
744.241333,-2.229738,
745.587158,-2.224946,
746.932983,-2.220446,
748.278809,-2.215745,
749.624634,-2.211336,
750.970459,-2.206729,
752.316284,-2.202407,
753.662109,-2.197892,
755.007935,-2.193663,
756.353760,-2.189241,
757.699585,-2.185099,
759.045410,-2.180771,
760.391235,-2.176717,
761.737061,-2.172485,
763.082886,-2.168520,
764.428711,-2.164382,
765.774536,-2.160503,
767.120361,-2.156456,
768.466187,-2.152670,
769.812012,-2.148717,
771.157837,-2.145017,
772.503662,-2.141155,
773.849487,-2.137547,
775.195312,-2.133776,
776.541138,-2.130256,
777.886963,-2.126579,
779.232788,-2.123146,
780.578613,-2.119560,
781.924438,-2.116212,
783.270264,-2.112720,
784.616089,-2.109463,
785.961914,-2.106058,
787.307739,-2.102887,
788.653564,-2.099575,
789.999390,-2.096491,
791.345215,-2.093267,
792.691040,-2.090269,
794.036865,-2.087137,
795.382690,-2.084225,
796.728516,-2.081181,
798.074341,-2.078358,
799.420166,-2.075401,
800.765991,-2.072658,
802.111816,-2.069793,
803.457642,-2.067134,
804.803467,-2.064357,
806.149292,-2.061785,
807.495117,-2.059093,
808.840942,-2.056604,
810.186768,-2.053998,
811.532593,-2.051591,
812.878418,-2.049074,
814.224243,-2.046747,
815.570068,-2.044316,
816.915894,-2.042072,
818.261719,-2.039724,
819.607544,-2.037560,
820.953369,-2.035297,
822.299194,-2.033213,
823.645020,-2.031033,
824.990845,-2.029031,
826.336670,-2.026932,
827.682495,-2.025008,
829.028320,-2.022990,
830.374146,-2.021146,
831.719971,-2.019208,
833.065796,-2.017442,
834.411621,-2.015584,
835.757446,-2.013895,
837.103271,-2.012118,
838.449097,-2.010500,
839.794922,-2.008803,
841.140747,-2.007263,
842.486572,-2.005642,
843.832397,-2.004176,
845.178223,-2.002632,
846.524048,-2.001238,
847.869873,-1.999769,
849.215698,-1.998449,
850.561523,-1.997056,
851.907349,-1.995806,
853.253174,-1.994487,
854.598999,-1.993308,
855.944824,-1.992062,
857.290649,-1.990953,
858.636475,-1.989779,
859.982300,-1.988738,
861.328125,-1.987636,
862.673950,-1.986663,
864.019775,-1.985630,
865.365601,-1.984725,
866.711426,-1.983762,
868.057251,-1.982920,
869.403076,-1.982025,
870.748901,-1.981252,
872.094727,-1.980423,
873.440552,-1.979712,
874.786377,-1.978950,
876.132202,-1.978301,
877.478027,-1.977602,
878.823853,-1.977017,
880.169678,-1.976385,
881.515503,-1.975858,
882.861328,-1.975286,
884.207153,-1.974820,
885.552979,-1.974313,
886.898804,-1.973906,
888.244629,-1.973456,
889.590454,-1.973109,
890.936279,-1.972719,
892.282104,-1.972427,
893.627930,-1.972096,
894.973755,-1.971859,
896.319580,-1.971586,
897.665405,-1.971402,
899.011230,-1.971186,
900.357056,-1.971056,
901.702881,-1.970897,
903.048706,-1.970819,
904.394531,-1.970713,
905.740356,-1.970685,
907.086182,-1.970632,
908.432007,-1.970654,
909.777832,-1.970653,
911.123657,-1.970724,
